iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
0,3.399e+02,4.09e+06,1.55e+08,1.08e+05
1,3.390e+02,4.66e+06,1.84e+08,1.29e+05
2,3.454e+02,5.12e+06,1.85e+08,1.32e+05
3,3.482e+02,4.36e+06,2.98e+08,1.13e+05
4,3.664e+02,3.77e+06,3.27e+08,9.47e+04
5,4.013e+02,4.51e+06,7.02e+07,1.16e+05
6,4.402e+02,4.48e+06,5.15e+07,1.02e+05
7,3.868e+02,4.38e+06,1.13e+08,1.05e+05
8,3.408e+02,4.14e+06,6.68e+07,9.84e+04
9,3.755e+02,3.87e+06,2.51e+08,9.09e+04
10,4.064e+02,4.47e+06,2.04e+08,1.17e+05
11,3.156e+02,4.34e+06,3.84e+08,1.13e+05
12,4.391e+02,5.16e+06,2.40e+08,1.47e+05
13,3.419e+02,3.95e+06,8.18e+07,1.02e+05
14,3.308e+02,4.26e+06,1.78e+07,1.13e+05
15,3.725e+02,4.70e+06,2.62e+08,1.27e+05
16,3.234e+02,4.45e+06,1.23e+08,1.10e+05
17,4.416e+02,4.88e+06,2.34e+08,1.36e+05
18,3.768e+02,4.87e+06,9.69e+07,1.18e+05
19,4.343e+02,4.99e+06,1.94e+07,1.31e+05
20,3.765e+02,3.83e+06,1.87e+08,9.08e+04
21,3.013e+02,5.39e+06,9.87e+07,1.44e+05
22,4.869e+02,5.91e+06,6.91e+07,1.71e+05
23,4.996e+02,4.98e+06,4.44e+06,1.20e+05
24,3.152e+02,4.50e+06,5.20e+07,1.10e+05
25,3.129e+02,5.21e+06,2.86e+07,1.41e+05
26,4.989e+02,4.57e+06,1.18e+08,1.33e+05
27,3.883e+02,4.53e+06,5.43e+07,1.16e+05
28,2.821e+02,4.16e+06,3.42e+07,1.02e+05
29,3.378e+02,3.65e+06,4.61e+07,9.45e+04
30,3.700e+02,4.08e+06,1.20e+08,1.03e+05
31,3.970e+02,4.17e+06,2.69e+07,1.13e+05
32,4.080e+02,4.14e+06,5.58e+07,1.10e+05
33,3.933e+02,5.25e+06,1.66e+08,1.31e+05
