iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
0,4.167e+02,1.38e+07,7.76e+07,4.27e+05
1,3.189e+02,1.12e+07,7.53e+07,3.36e+05
2,4.981e+02,1.70e+07,2.30e+08,4.54e+05
3,3.005e+02,1.08e+07,3.26e+08,2.94e+05
4,2.774e+02,1.01e+07,6.72e+07,2.80e+05
5,3.667e+02,1.30e+07,1.52e+08,3.39e+05
6,3.781e+02,1.37e+07,3.57e+07,3.79e+05
7,4.041e+02,1.41e+07,9.81e+07,4.00e+05
8,3.696e+02,1.33e+07,1.37e+07,4.08e+05
9,3.584e+02,1.26e+07,1.58e+08,3.49e+05
10,3.397e+02,1.14e+07,2.20e+08,3.30e+05
11,3.279e+02,1.23e+07,3.30e+08,3.42e+05
12,4.751e+02,1.76e+07,1.19e+07,4.19e+05
13,4.061e+02,1.39e+07,2.16e+08,4.57e+05
14,3.831e+02,1.40e+07,9.15e+07,3.77e+05
15,3.731e+02,1.29e+07,1.75e+07,3.16e+05
16,4.238e+02,1.47e+07,9.94e+07,4.18e+05
17,3.570e+02,1.19e+07,8.42e+07,3.25e+05
18,3.583e+02,1.34e+07,1.80e+08,3.95e+05
19,4.016e+02,1.37e+07,1.63e+08,3.95e+05
20,3.543e+02,1.31e+07,1.64e+08,3.28e+05
21,3.534e+02,1.22e+07,4.46e+07,3.51e+05
22,3.120e+02,1.07e+07,1.02e+08,3.29e+05
23,4.190e+02,1.47e+07,2.48e+08,4.30e+05
24,3.549e+02,1.25e+07,4.75e+07,3.46e+05
25,3.332e+02,1.19e+07,1.04e+06,3.34e+05
26,3.721e+02,1.36e+07,2.69e+08,3.72e+05
27,4.426e+02,1.57e+07,1.01e+08,4.83e+05
28,3.479e+02,1.25e+07,4.17e+06,3.45e+05
29,3.743e+02,1.37e+07,1.61e+08,3.52e+05
30,2.804e+02,1.02e+07,1.19e+08,2.60e+05
31,3.532e+02,1.22e+07,1.17e+08,3.01e+05
32,3.866e+02,1.38e+07,1.25e+08,4.02e+05
33,2.600e+02,8.65e+06,7.05e+07,2.52e+05
34,3.613e+02,1.29e+07,1.31e+08,3.57e+05
35,3.979e+02,1.42e+07,3.68e+07,3.88e+05
36,3.662e+02,1.30e+07,1.71e+08,4.02e+05
37,3.954e+02,1.35e+07,1.32e+08,4.03e+05
38,3.632e+02,1.33e+07,2.56e+08,3.70e+05
39,3.031e+02,1.06e+07,7.51e+07,3.21e+05
40,4.169e+02,1.45e+07,1.60e+08,3.70e+05
41,3.029e+02,1.10e+07,9.18e+07,3.15e+05
42,4.628e+02,1.72e+07,1.11e+08,4.51e+05
43,3.823e+02,1.33e+07,3.77e+07,3.66e+05
44,3.481e+02,1.22e+07,5.58e+07,3.40e+05
45,3.753e+02,1.35e+07,2.18e+08,3.62e+05
46,3.712e+02,1.30e+07,1.06e+08,3.31e+05
47,3.573e+02,1.25e+07,2.26e+08,3.53e+05
48,3.541e+02,1.27e+07,1.48e+08,3.11e+05
49,3.584e+02,1.27e+07,3.32e+08,3.72e+05
50,3.938e+02,1.43e+07,2.85e+07,3.93e+05
51,4.080e+02,1.35e+07,6.25e+07,4.11e+05
52,4.522e+02,1.53e+07,3.48e+08,4.53e+05
53,3.595e+02,1.24e+07,8.63e+07,3.49e+05
54,3.843e+02,1.34e+07,5.43e+04,3.61e+05
55,4.560e+02,1.61e+07,3.94e+07,4.50e+05
56,4.374e+02,1.53e+07,5.96e+07,4.46e+05
57,3.136e+02,1.17e+07,7.20e+07,3.27e+05
58,4.040e+02,1.57e+07,4.01e+07,3.86e+05
59,3.639e+02,1.27e+07,9.39e+06,3.51e+05
60,2.951e+02,1.05e+07,1.13e+08,2.57e+05
61,4.054e+02,1.46e+07,1.24e+08,4.08e+05
62,3.791e+02,1.29e+07,1.69e+08,3.47e+05
63,4.354e+02,1.61e+07,2.79e+08,4.74e+05
64,3.236e+02,1.11e+07,1.85e+08,3.21e+05
65,3.561e+02,1.22e+07,3.25e+07,3.13e+05
66,4.374e+02,1.45e+07,1.21e+08,4.48e+05
67,3.778e+02,1.32e+07,1.58e+07,3.72e+05
68,3.718e+02,1.24e+07,2.73e+07,3.83e+05
69,3.557e+02,1.28e+07,2.87e+07,3.54e+05
70,3.343e+02,1.13e+07,7.57e+07,3.28e+05
71,3.819e+02,1.28e+07,1.38e+08,3.37e+05
72,3.534e+02,1.19e+07,1.33e+08,3.11e+05
73,3.584e+02,1.30e+07,2.22e+07,3.55e+05
74,4.213e+02,1.45e+07,1.94e+08,4.20e+05
75,4.052e+02,1.47e+07,1.17e+08,4.06e+05
76,3.583e+02,1.28e+07,1.73e+08,3.77e+05
77,3.294e+02,1.16e+07,5.58e+08,3.25e+05
78,3.002e+02,1.06e+07,9.18e+07,2.92e+05
79,3.653e+02,1.22e+07,4.97e+07,4.08e+05
80,3.738e+02,1.35e+07,1.90e+07,3.83e+05
81,3.125e+02,1.07e+07,5.07e+07,3.19e+05
82,3.777e+02,1.31e+07,7.28e+07,3.49e+05
83,3.668e+02,1.31e+07,1.38e+08,3.43e+05
84,3.510e+02,1.19e+07,1.24e+08,3.90e+05
85,3.886e+02,1.34e+07,2.04e+08,3.82e+05
86,3.194e+02,1.08e+07,3.10e+07,3.22e+05
87,3.280e+02,1.18e+07,7.33e+07,2.98e+05
88,2.906e+02,1.02e+07,3.48e+07,2.76e+05
89,3.165e+02,1.13e+07,5.00e+07,3.22e+05
90,3.098e+02,1.09e+07,5.20e+07,3.00e+05
91,3.040e+02,1.15e+07,6.40e+07,3.12e+05
92,3.544e+02,1.21e+07,1.21e+08,3.20e+05
93,3.404e+02,1.21e+07,4.07e+07,3.36e+05
94,3.269e+02,1.14e+07,9.40e+07,3.58e+05
95,4.009e+02,1.30e+07,2.84e+08,3.61e+05
96,3.849e+02,1.27e+07,2.35e+08,4.24e+05
97,3.807e+02,1.32e+07,8.38e+07,3.48e+05
98,3.533e+02,1.26e+07,1.29e+07,3.62e+05
99,5.114e+02,1.86e+07,3.62e+08,5.46e+05
100,4.063e+02,1.41e+07,3.24e+08,3.74e+05
101,3.592e+02,1.20e+07,1.29e+08,3.58e+05
102,3.642e+02,1.31e+07,1.52e+07,3.82e+05
103,3.386e+02,1.20e+07,2.03e+08,3.36e+05
104,3.313e+02,1.25e+07,1.34e+08,3.21e+05
105,3.249e+02,1.11e+07,1.42e+07,2.84e+05
106,3.894e+02,1.36e+07,5.39e+07,3.58e+05
107,4.933e+02,1.68e+07,2.20e+07,4.63e+05
108,3.519e+02,1.17e+07,2.29e+08,3.45e+05
109,3.987e+02,1.36e+07,6.78e+07,4.28e+05
110,3.074e+02,1.08e+07,1.64e+08,2.89e+05
111,3.658e+02,1.27e+07,7.87e+07,2.96e+05
112,3.750e+02,1.29e+07,1.77e+08,3.59e+05
113,3.770e+02,1.29e+07,3.80e+07,3.48e+05
114,3.510e+02,1.22e+07,2.53e+07,3.41e+05
115,3.478e+02,1.21e+07,2.70e+08,3.28e+05
116,3.980e+02,1.41e+07,1.75e+07,3.81e+05
117,3.168e+02,1.10e+07,5.12e+06,2.95e+05
118,3.231e+02,1.15e+07,2.69e+08,3.50e+05
119,3.530e+02,1.22e+07,6.56e+07,3.35e+05
120,2.805e+02,9.94e+06,2.09e+08,2.63e+05
121,2.685e+02,9.63e+06,6.85e+07,2.50e+05
122,3.262e+02,1.17e+07,7.44e+07,3.16e+05
123,3.161e+02,1.09e+07,7.11e+07,3.24e+05
124,3.653e+02,1.23e+07,3.43e+08,3.61e+05
125,3.144e+02,1.10e+07,3.47e+08,3.24e+05
126,3.177e+02,1.15e+07,1.02e+08,3.19e+05
127,2.908e+02,9.40e+06,5.33e+07,3.02e+05
128,3.809e+02,1.38e+07,7.59e+07,3.64e+05
129,3.322e+02,1.15e+07,8.90e+07,3.65e+05
130,3.059e+02,1.06e+07,8.33e+07,2.99e+05
131,3.666e+02,1.30e+07,9.16e+07,3.41e+05
132,4.494e+02,1.53e+07,9.92e+07,3.60e+05
133,3.547e+02,1.35e+07,1.49e+08,3.47e+05
134,3.121e+02,1.16e+07,1.07e+08,3.18e+05
135,2.857e+02,1.05e+07,6.11e+07,2.98e+05
136,3.392e+02,1.22e+07,7.50e+07,3.07e+05
137,3.111e+02,1.11e+07,9.75e+07,3.04e+05
138,3.575e+02,1.23e+07,8.52e+07,3.47e+05
139,3.383e+02,1.17e+07,1.94e+08,3.56e+05
140,3.435e+02,1.20e+07,3.85e+07,3.08e+05
141,3.366e+02,1.24e+07,2.57e+08,3.08e+05
142,2.765e+02,9.89e+06,8.90e+07,2.87e+05
143,3.174e+02,1.11e+07,1.28e+08,3.09e+05
144,3.444e+02,1.12e+07,7.83e+07,3.40e+05
145,3.432e+02,1.23e+07,5.15e+07,3.35e+05
146,3.516e+02,1.28e+07,2.10e+08,3.90e+05
147,3.557e+02,1.23e+07,2.16e+08,3.64e+05
148,3.748e+02,1.31e+07,1.34e+06,3.88e+05
149,3.377e+02,1.15e+07,2.96e+08,3.13e+05
150,3.111e+02,1.06e+07,1.76e+08,3.38e+05
151,2.881e+02,1.01e+07,3.56e+07,2.63e+05
152,2.874e+02,1.01e+07,3.16e+08,2.63e+05
153,3.000e+02,1.07e+07,4.64e+07,2.89e+05
154,3.785e+02,1.42e+07,2.97e+07,3.73e+05
