iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
9,4.060e+02,7.11e+06,8.30e+08,3.37e+11
9,3.665e+02,6.54e+06,1.12e+09,2.67e+11
9,3.082e+02,5.49e+06,4.89e+08,2.57e+11
9,3.417e+02,6.33e+06,8.20e+08,3.01e+11
9,3.615e+02,6.19e+06,5.56e+08,3.34e+11
9,3.868e+02,6.93e+06,6.11e+08,3.51e+11
9,3.423e+02,6.02e+06,1.02e+09,2.80e+11
9,3.979e+02,7.16e+06,7.97e+08,3.44e+11
9,3.659e+02,6.84e+06,8.69e+08,3.47e+11
9,4.907e+02,8.09e+06,7.12e+08,4.79e+11
9,3.758e+02,6.54e+06,7.84e+08,2.87e+11
9,3.373e+02,5.83e+06,8.58e+08,2.91e+11
9,3.426e+02,5.87e+06,7.34e+08,2.73e+11
9,3.928e+02,7.02e+06,9.25e+08,2.99e+11
9,3.441e+02,6.42e+06,8.42e+08,2.94e+11
9,3.787e+02,6.76e+06,7.04e+08,3.27e+11
9,3.925e+02,6.99e+06,9.27e+08,3.50e+11
9,3.389e+02,6.13e+06,4.66e+08,2.59e+11
9,3.999e+02,7.27e+06,1.17e+09,3.31e+11
9,3.419e+02,5.66e+06,1.50e+09,2.53e+11
9,3.914e+02,6.62e+06,8.63e+08,3.37e+11
9,4.012e+02,6.78e+06,1.12e+09,3.30e+11
9,3.959e+02,7.43e+06,1.19e+09,3.52e+11
9,3.551e+02,5.98e+06,8.18e+08,2.85e+11
9,3.331e+02,5.80e+06,7.77e+08,3.18e+11
9,3.667e+02,6.21e+06,1.14e+09,2.97e+11
9,3.824e+02,6.71e+06,8.29e+08,3.42e+11
9,2.949e+02,5.40e+06,9.82e+08,2.66e+11
9,2.712e+02,5.00e+06,9.75e+08,2.08e+11
9,4.506e+02,7.65e+06,8.73e+08,3.24e+11
9,4.040e+02,6.53e+06,1.17e+09,3.74e+11
9,3.962e+02,7.50e+06,1.02e+09,3.40e+11
9,3.041e+02,5.29e+06,1.18e+09,2.19e+11
9,3.610e+02,6.05e+06,6.55e+08,3.24e+11
9,3.854e+02,6.82e+06,8.78e+08,3.08e+11
9,4.204e+02,7.16e+06,5.35e+08,3.76e+11
9,4.183e+02,7.56e+06,8.62e+08,3.42e+11
9,3.237e+02,5.45e+06,7.73e+08,2.76e+11
9,3.667e+02,6.00e+06,8.34e+08,2.98e+11
9,3.609e+02,6.57e+06,8.89e+08,2.97e+11
9,3.310e+02,6.14e+06,1.00e+09,2.68e+11
9,3.328e+02,6.13e+06,8.68e+08,2.95e+11
9,3.606e+02,6.16e+06,9.25e+08,3.05e+11
9,4.173e+02,7.55e+06,1.16e+09,3.51e+11
9,3.691e+02,6.51e+06,7.01e+08,2.84e+11
9,3.165e+02,5.66e+06,8.07e+08,2.55e+11
9,4.474e+02,8.18e+06,9.61e+08,4.21e+11
9,3.560e+02,6.43e+06,6.07e+08,2.96e+11
9,2.644e+02,4.83e+06,9.70e+08,2.20e+11
9,3.598e+02,6.39e+06,6.27e+08,2.44e+11
9,4.426e+02,7.69e+06,1.02e+09,4.37e+11
9,4.098e+02,7.35e+06,9.20e+08,3.64e+11
9,2.501e+02,4.54e+06,1.07e+09,2.23e+11
9,2.922e+02,5.19e+06,8.13e+08,2.54e+11
9,3.248e+02,5.85e+06,6.62e+08,2.88e+11
9,2.967e+02,5.30e+06,7.59e+08,2.61e+11
9,3.918e+02,6.84e+06,6.84e+08,2.86e+11
9,3.014e+02,5.75e+06,6.46e+08,2.55e+11
9,3.167e+02,5.79e+06,7.46e+08,2.59e+11
9,3.686e+02,6.72e+06,7.02e+08,2.97e+11
9,3.007e+02,5.23e+06,8.02e+08,2.51e+11
9,5.254e+02,8.93e+06,7.73e+08,4.28e+11
9,3.567e+02,6.55e+06,9.96e+08,2.81e+11
9,4.096e+02,7.37e+06,9.03e+08,3.55e+11
9,4.182e+02,7.36e+06,9.38e+08,3.53e+11
9,3.357e+02,5.86e+06,6.84e+08,2.57e+11
9,3.502e+02,6.15e+06,7.37e+08,2.89e+11
9,3.501e+02,6.31e+06,1.62e+09,2.68e+11
9,3.502e+02,6.03e+06,1.28e+09,2.67e+11
9,2.536e+02,4.69e+06,8.01e+08,2.04e+11
9,4.359e+02,7.74e+06,3.85e+08,3.92e+11
9,3.177e+02,5.65e+06,1.23e+09,2.73e+11
9,3.048e+02,5.61e+06,1.16e+09,2.57e+11
9,4.053e+02,7.37e+06,9.46e+08,3.35e+11
9,3.259e+02,5.74e+06,5.49e+08,2.90e+11
9,3.917e+02,6.80e+06,8.85e+08,3.44e+11
9,3.526e+02,6.41e+06,4.69e+08,3.26e+11
9,4.256e+02,7.51e+06,1.05e+09,3.59e+11
9,4.135e+02,7.55e+06,9.27e+08,3.60e+11
9,3.139e+02,5.38e+06,9.55e+08,2.53e+11
9,3.335e+02,6.08e+06,1.03e+09,2.67e+11
9,2.982e+02,5.23e+06,1.08e+09,2.69e+11
9,3.399e+02,6.13e+06,4.78e+08,2.85e+11
9,3.956e+02,7.23e+06,9.44e+08,3.50e+11
9,3.399e+02,6.10e+06,7.88e+08,3.05e+11
9,3.354e+02,6.09e+06,7.47e+08,2.90e+11
