iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
5,2.392e+03,3.29e+08,2.90e+09,3.31e+06
5,2.199e+03,3.03e+08,2.17e+09,3.01e+06
5,2.096e+03,2.92e+08,2.05e+09,2.93e+06
5,1.954e+03,2.64e+08,1.99e+09,2.61e+06
5,2.037e+03,2.80e+08,1.40e+09,2.80e+06
5,1.905e+03,2.63e+08,2.87e+09,2.60e+06
5,1.957e+03,2.70e+08,1.92e+09,2.70e+06
5,2.014e+03,2.73e+08,1.32e+09,2.74e+06
5,2.530e+03,3.48e+08,1.80e+09,3.46e+06
5,2.539e+03,3.53e+08,1.89e+09,3.53e+06
5,1.604e+03,2.18e+08,1.42e+09,2.21e+06
5,2.104e+03,2.84e+08,2.57e+09,2.85e+06
5,2.245e+03,3.07e+08,2.00e+09,3.08e+06
5,1.703e+03,2.29e+08,1.69e+09,2.31e+06
5,1.947e+03,2.68e+08,1.83e+09,2.68e+06
5,2.162e+03,2.96e+08,1.87e+09,2.98e+06
5,1.936e+03,2.63e+08,2.15e+09,2.64e+06
5,2.379e+03,3.24e+08,2.30e+09,3.23e+06
5,2.035e+03,2.76e+08,2.89e+09,2.77e+06
5,2.056e+03,2.84e+08,3.10e+09,2.86e+06
5,1.540e+03,2.08e+08,2.30e+09,2.12e+06
5,2.221e+03,3.02e+08,1.69e+09,3.05e+06
5,1.603e+03,2.18e+08,1.07e+09,2.18e+06
5,1.998e+03,2.71e+08,1.67e+09,2.74e+06
5,2.088e+03,2.82e+08,2.86e+09,2.85e+06
5,2.246e+03,3.07e+08,3.57e+09,3.08e+06
5,2.352e+03,3.21e+08,2.80e+09,3.24e+06
5,2.674e+03,3.67e+08,2.44e+09,3.65e+06
5,1.690e+03,2.33e+08,1.14e+09,2.34e+06
5,2.895e+03,3.99e+08,1.13e+09,3.96e+06
5,1.716e+03,2.35e+08,1.75e+09,2.34e+06
5,2.274e+03,3.09e+08,4.32e+09,3.06e+06
5,1.675e+03,2.31e+08,2.27e+09,2.33e+06
5,2.682e+03,3.69e+08,1.26e+09,3.67e+06
5,2.077e+03,2.88e+08,1.26e+09,2.88e+06
5,2.152e+03,2.93e+08,2.50e+09,2.94e+06
5,1.996e+03,2.73e+08,1.15e+09,2.75e+06
5,2.381e+03,3.22e+08,2.68e+09,3.23e+06
5,2.192e+03,3.00e+08,1.95e+09,3.00e+06
5,1.769e+03,2.47e+08,2.20e+09,2.45e+06
5,2.311e+03,3.16e+08,2.05e+09,3.19e+06
5,1.528e+03,2.06e+08,1.41e+09,2.08e+06
5,2.093e+03,2.80e+08,1.20e+09,2.79e+06
5,2.017e+03,2.78e+08,3.01e+09,2.81e+06
5,1.783e+03,2.44e+08,2.23e+09,2.47e+06
5,2.146e+03,2.92e+08,2.27e+09,2.93e+06
5,2.242e+03,3.09e+08,3.53e+09,3.09e+06
5,1.904e+03,2.60e+08,2.22e+09,2.62e+06
5,2.224e+03,3.01e+08,3.53e+09,3.02e+06
5,1.985e+03,2.68e+08,2.51e+09,2.69e+06
5,2.129e+03,2.89e+08,2.31e+09,2.92e+06
5,2.212e+03,3.01e+08,1.80e+09,3.00e+06
5,1.934e+03,2.68e+08,2.05e+09,2.65e+06
5,2.302e+03,3.17e+08,1.57e+09,3.22e+06
5,2.478e+03,3.43e+08,2.11e+09,3.44e+06
5,1.787e+03,2.41e+08,1.15e+09,2.43e+06
5,3.000e+03,4.04e+08,2.43e+09,4.09e+06
5,2.082e+03,2.83e+08,1.29e+09,2.85e+06
5,2.410e+03,3.26e+08,1.61e+09,3.24e+06
5,2.148e+03,2.89e+08,1.92e+09,2.89e+06
5,2.182e+03,2.95e+08,3.31e+09,2.97e+06
5,2.686e+03,3.65e+08,1.94e+09,3.64e+06
5,1.926e+03,2.63e+08,1.35e+09,2.64e+06
